TransactionNo,TransactionNo,Items,DateTime,Daypart,DayType
1,1,Bread,10/30/2016 9:58,Morning,Weekend
2,2,Scandinavian,10/30/2016 10:05,Morning,Weekend
2,2,Scandinavian,10/30/2016 10:05,Morning,Weekend
3,3,Hot chocolate,10/30/2016 10:07,Morning,Weekend
3,3,Jam,10/30/2016 10:07,Morning,Weekend
3,3,Cookies,10/30/2016 10:07,Morning,Weekend
4,4,Muffin,10/30/2016 10:08,Morning,Weekend
5,5,Coffee,10/30/2016 10:13,Morning,Weekend
5,5,Pastry,10/30/2016 10:13,Morning,Weekend
5,5,Bread,10/30/2016 10:13,Morning,Weekend
6,6,Medialuna,10/30/2016 10:16,Morning,Weekend
6,6,Pastry,10/30/2016 10:16,Morning,Weekend
6,6,Muffin,10/30/2016 10:16,Morning,Weekend
7,7,Medialuna,10/30/2016 10:19,Morning,Weekend
7,7,Pastry,10/30/2016 10:19,Morning,Weekend
7,7,Coffee,10/30/2016 10:19,Morning,Weekend
7,7,Tea,10/30/2016 10:19,Morning,Weekend
8,8,Pastry,10/30/2016 10:20,Morning,Weekend
8,8,Bread,10/30/2016 10:20,Morning,Weekend
9,9,Bread,10/30/2016 10:21,Morning,Weekend
9,9,Muffin,10/30/2016 10:21,Morning,Weekend
10,10,Scandinavian,10/30/2016 10:25,Morning,Weekend
10,10,Medialuna,10/30/2016 10:25,Morning,Weekend
11,11,Bread,10/30/2016 10:27,Morning,Weekend
11,11,Medialuna,10/30/2016 10:27,Morning,Weekend
11,11,Bread,10/30/2016 10:27,Morning,Weekend
12,12,Jam,10/30/2016 10:30,Morning,Weekend
12,12,Coffee,10/30/2016 10:30,Morning,Weekend
12,12,Tartine,10/30/2016 10:30,Morning,Weekend
12,12,Pastry,10/30/2016 10:30,Morning,Weekend
12,12,Tea,10/30/2016 10:30,Morning,Weekend
13,13,Basket,10/30/2016 10:31,Morning,Weekend
13,13,Bread,10/30/2016 10:31,Morning,Weekend
13,13,Coffee,10/30/2016 10:31,Morning,Weekend
14,14,Bread,10/30/2016 10:32,Morning,Weekend
14,14,Medialuna,10/30/2016 10:32,Morning,Weekend
14,14,Pastry,10/30/2016 10:32,Morning,Weekend
15,15,Mineral water,10/30/2016 10:34,Morning,Weekend
15,15,Scandinavian,10/30/2016 10:34,Morning,Weekend
16,16,Bread,10/30/2016 10:37,Morning,Weekend
16,16,Medialuna,10/30/2016 10:37,Morning,Weekend
16,16,Coffee,10/30/2016 10:37,Morning,Weekend
17,17,Hot chocolate,10/30/2016 10:38,Morning,Weekend
18,18,Farm House,10/30/2016 10:41,Morning,Weekend
19,19,Farm House,10/30/2016 10:43,Morning,Weekend
19,19,Bread,10/30/2016 10:43,Morning,Weekend
20,20,Bread,10/30/2016 10:45,Morning,Weekend
20,20,Medialuna,10/30/2016 10:45,Morning,Weekend
21,21,Coffee,10/30/2016 10:49,Morning,Weekend
21,21,Coffee,10/30/2016 10:49,Morning,Weekend
21,21,Medialuna,10/30/2016 10:49,Morning,Weekend
21,21,Bread,10/30/2016 10:49,Morning,Weekend
22,22,Jam,10/30/2016 10:52,Morning,Weekend
23,23,Scandinavian,10/30/2016 10:53,Morning,Weekend
23,23,Muffin,10/30/2016 10:53,Morning,Weekend
24,24,Bread,10/30/2016 10:54,Morning,Weekend
25,25,Scandinavian,10/30/2016 10:55,Morning,Weekend
26,26,Fudge,10/30/2016 10:56,Morning,Weekend
27,27,Scandinavian,10/30/2016 11:02,Morning,Weekend
28,28,Coffee,10/30/2016 11:03,Morning,Weekend
28,28,Bread,10/30/2016 11:03,Morning,Weekend
29,29,Bread,10/30/2016 11:05,Morning,Weekend
29,29,Jam,10/30/2016 11:05,Morning,Weekend
30,30,Bread,10/30/2016 11:07,Morning,Weekend
31,31,Basket,10/30/2016 11:12,Morning,Weekend
32,32,Scandinavian,10/30/2016 11:16,Morning,Weekend
32,32,Muffin,10/30/2016 11:16,Morning,Weekend
33,33,Coffee,10/30/2016 11:22,Morning,Weekend
34,34,Coffee,10/30/2016 11:25,Morning,Weekend
34,34,Muffin,10/30/2016 11:25,Morning,Weekend
35,35,Muffin,10/30/2016 11:27,Morning,Weekend
35,35,Scandinavian,10/30/2016 11:27,Morning,Weekend
36,36,Tea,10/30/2016 11:33,Morning,Weekend
36,36,Bread,10/30/2016 11:33,Morning,Weekend
37,37,Coffee,10/30/2016 11:37,Morning,Weekend
37,37,Bread,10/30/2016 11:37,Morning,Weekend
38,38,Bread,10/30/2016 11:42,Morning,Weekend
38,38,Tea,10/30/2016 11:42,Morning,Weekend
39,39,Scandinavian,10/30/2016 11:44,Morning,Weekend
40,40,Juice,10/30/2016 11:55,Morning,Weekend
40,40,Tartine,10/30/2016 11:55,Morning,Weekend
40,40,Coffee,10/30/2016 11:55,Morning,Weekend
40,40,Muffin,10/30/2016 11:55,Morning,Weekend
41,41,Scandinavian,10/30/2016 11:57,Morning,Weekend
42,42,Bread,10/30/2016 11:57,Morning,Weekend
42,42,Tea,10/30/2016 11:57,Morning,Weekend
43,43,Scandinavian,10/30/2016 12:00,Afternoon,Weekend
43,43,Fudge,10/30/2016 12:00,Afternoon,Weekend
44,44,Coffee,10/30/2016 12:05,Afternoon,Weekend
44,44,Medialuna,10/30/2016 12:05,Afternoon,Weekend
45,45,Coffee,10/30/2016 12:08,Afternoon,Weekend
45,45,Hot chocolate,10/30/2016 12:08,Afternoon,Weekend
45,45,Medialuna,10/30/2016 12:08,Afternoon,Weekend
46,46,Coffee,10/30/2016 12:09,Afternoon,Weekend
47,47,Ella's Kitchen Pouches,10/30/2016 12:15,Afternoon,Weekend
47,47,Juice,10/30/2016 12:15,Afternoon,Weekend
47,47,Bread,10/30/2016 12:15,Afternoon,Weekend
47,47,Muffin,10/30/2016 12:15,Afternoon,Weekend
47,47,Jam,10/30/2016 12:15,Afternoon,Weekend
48,48,Coffee,10/30/2016 12:17,Afternoon,Weekend
49,49,Coffee,10/30/2016 12:23,Afternoon,Weekend
49,49,Coffee,10/30/2016 12:23,Afternoon,Weekend
49,49,Medialuna,10/30/2016 12:23,Afternoon,Weekend
50,50,Bread,10/30/2016 12:25,Afternoon,Weekend
50,50,Victorian Sponge,10/30/2016 12:25,Afternoon,Weekend
51,51,Bread,10/30/2016 12:26,Afternoon,Weekend
52,52,Scandinavian,10/30/2016 12:28,Afternoon,Weekend
54,54,Bread,10/30/2016 12:33,Afternoon,Weekend
55,55,Frittata,10/30/2016 12:38,Afternoon,Weekend
55,55,Coffee,10/30/2016 12:38,Afternoon,Weekend
55,55,Tea,10/30/2016 12:38,Afternoon,Weekend
55,55,Hearty & Seasonal,10/30/2016 12:38,Afternoon,Weekend
56,56,Coffee,10/30/2016 12:39,Afternoon,Weekend
56,56,Frittata,10/30/2016 12:39,Afternoon,Weekend
57,57,Scandinavian,10/30/2016 12:45,Afternoon,Weekend
58,58,Victorian Sponge,10/30/2016 12:59,Afternoon,Weekend
58,58,Hot chocolate,10/30/2016 12:59,Afternoon,Weekend
58,58,Tea,10/30/2016 12:59,Afternoon,Weekend
58,58,Soup,10/30/2016 12:59,Afternoon,Weekend
59,59,Tea,10/30/2016 13:02,Afternoon,Weekend
60,60,Cookies,10/30/2016 13:14,Afternoon,Weekend
60,60,Coffee,10/30/2016 13:14,Afternoon,Weekend
60,60,Juice,10/30/2016 13:14,Afternoon,Weekend
60,60,Coffee,10/30/2016 13:14,Afternoon,Weekend
61,61,Coffee,10/30/2016 13:15,Afternoon,Weekend
62,62,Pick and Mix Bowls,10/30/2016 13:24,Afternoon,Weekend
62,62,Hearty & Seasonal,10/30/2016 13:24,Afternoon,Weekend
62,62,Hearty & Seasonal,10/30/2016 13:24,Afternoon,Weekend
62,62,Coffee,10/30/2016 13:24,Afternoon,Weekend
62,62,Smoothies,10/30/2016 13:24,Afternoon,Weekend
62,62,Coffee,10/30/2016 13:24,Afternoon,Weekend
63,63,Coffee,10/30/2016 13:33,Afternoon,Weekend
64,64,Cake,10/30/2016 13:34,Afternoon,Weekend
65,65,Tartine,10/30/2016 13:37,Afternoon,Weekend
65,65,Mighty Protein,10/30/2016 13:37,Afternoon,Weekend
65,65,Tea,10/30/2016 13:37,Afternoon,Weekend
65,65,Coffee,10/30/2016 13:37,Afternoon,Weekend
66,66,Hearty & Seasonal,10/30/2016 13:40,Afternoon,Weekend
66,66,Frittata,10/30/2016 13:40,Afternoon,Weekend
66,66,Mineral water,10/30/2016 13:40,Afternoon,Weekend
67,67,Hearty & Seasonal,10/30/2016 13:46,Afternoon,Weekend
67,67,Mineral water,10/30/2016 13:46,Afternoon,Weekend
67,67,Muffin,10/30/2016 13:46,Afternoon,Weekend
68,68,Frittata,10/30/2016 13:49,Afternoon,Weekend
68,68,Coffee,10/30/2016 13:49,Afternoon,Weekend
68,68,Tea,10/30/2016 13:49,Afternoon,Weekend
68,68,Scandinavian,10/30/2016 13:49,Afternoon,Weekend
68,68,Chicken sand,10/30/2016 13:49,Afternoon,Weekend
69,69,Bread,10/30/2016 13:51,Afternoon,Weekend
69,69,Tea,10/30/2016 13:51,Afternoon,Weekend
69,69,Victorian Sponge,10/30/2016 13:51,Afternoon,Weekend
70,70,Fudge,10/30/2016 13:54,Afternoon,Weekend
71,71,Muffin,10/30/2016 13:56,Afternoon,Weekend
72,72,Coffee,10/30/2016 14:21,Afternoon,Weekend
72,72,Bread,10/30/2016 14:21,Afternoon,Weekend
73,73,Bread,10/30/2016 14:22,Afternoon,Weekend
74,74,Coffee,10/30/2016 14:24,Afternoon,Weekend
74,74,Bread,10/30/2016 14:24,Afternoon,Weekend
75,75,Jam,10/30/2016 14:32,Afternoon,Weekend
75,75,Frittata,10/30/2016 14:32,Afternoon,Weekend
76,76,Coffee,10/30/2016 14:32,Afternoon,Weekend
77,77,Scandinavian,10/30/2016 14:35,Afternoon,Weekend
78,78,Fudge,10/30/2016 14:42,Afternoon,Weekend
79,79,Fudge,10/30/2016 14:45,Afternoon,Weekend
79,79,Tea,10/30/2016 14:45,Afternoon,Weekend
79,79,Coffee,10/30/2016 14:45,Afternoon,Weekend
79,79,Muffin,10/30/2016 14:45,Afternoon,Weekend
80,80,Frittata,10/30/2016 14:48,Afternoon,Weekend
80,80,Bread,10/30/2016 14:48,Afternoon,Weekend
80,80,Coffee,10/30/2016 14:48,Afternoon,Weekend
81,81,Coffee,10/31/2016 8:28,Morning,Weekday
81,81,Cake,10/31/2016 8:28,Morning,Weekday
82,82,Tartine,10/31/2016 8:47,Morning,Weekday
